,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentAssets,,1256000,1556000,2055000,2899000,3422000,3379000,6336000,7241000,7328000,7174000,6934000,8123000,7544000,6945000,6805000,15009000,20269000,26496000,21411000,25750000,29443000,30035000,30252000,34898000,31945000,33531000,29687000,31476000,28521000,61206000
BalanceCurrentAssets_yy,,,,,,172.45,117.16,208.32,149.74,114.14,112.31,9.43,12.19,2.95,-3.20,-1.86,84.77,168.68,281.54,214.66,71.57,45.26,13.35,41.29,35.53,8.50,11.64,-1.87,-9.81,-10.72,82.54
BalanceCurrentAssets_sy,,,,,,12.29,14.31,12.44,1.82,13.38,16.50,6.02,10.63,6.40,9.18,9.22,8.68,8.78,6.21,10.38,10.86,7.48,6.80,7.32,7.48,13.43,8.04,10.42,0.67,4.17,11.28
BalanceCurrentAssets_qq,,,23.89,32.07,41.09,18.03,-1.26,87.51,14.28,1.20,-2.10,-3.35,17.16,-7.13,-7.94,-2.02,120.57,35.04,30.73,-19.19,20.26,14.34,2.01,0.72,15.36,-8.46,4.96,-11.46,6.03,-9.39,114.60
BalanceCurrentAssets_sq,,,0.82,-100.00,18.31,-10.22,3.01,1.11,13.65,-3.81,-0.12,0.43,14.65,3.31,1.40,-0.19,16.79,1.06,-3.00,0.06,9.30,-5.14,2.46,0.40,14.26,-2.30,1.36,-1.09,4.77,-6.50,4.63
BalanceInventory,,,,,1109000,,,,2558000,2896000,2793000,2905000,3442000,3782000,4327000,4924000,,,4807000,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,130.60,,,,34.55,30.61,54.92,69.50,-100.00,-100.00,11.10,-100.00,,,-100.00,,,,,,,,
BalanceInventory_sy,,,,,,,,,-0.27,,,,10.43,11.86,20.69,-5.97,-9.02,-0.22,3.19,3.60,,,-8.70,,,,,,,,
BalanceInventory_qq,,,,,,-100.00,,,,13.19,-3.56,4.02,18.50,9.88,14.39,13.80,-100.00,,,-100.00,,,,,,,,,,,
BalanceInventory_sq,,,,,,6.47,,,,13.19,-3.56,9.59,-14.78,7.74,8.48,0.15,-20.54,,,2.50,,,,,,,,,,,
BalanceCurrentReceivables,,,,432000,443000,,231000,469000,1215000,393000,561000,400000,901000,391000,535000,798000,7223000,5588000,4758000,2233000,2717000,4255000,5277000,3024000,5453000,2591000,4714000,2070000,3006000,2065000,12663000
