,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROPA_sy,,-15.90,-4.31,,63.17,,,,-10.93,-36.40,-62.88,,-49.14,-15.61,34.98,2.34,6.65,5.02,4.60,9.23,16.28,5.15,22.88,23.46,13.45,-1.07,2.11,-9.62,2.24,19.64,11.94
ROPA_qq,,,,,,11.18,7.58,,,-13.99,-9.95,5.52,1.09,-12.94,-10.04,-8.82,-8.01,7.06,-0.61,6.64,30.10,-2.56,1.37,0.45,-24.89,-35.37,-24.71,18.10,-38.44,131.65,41.89
ROPA_sq,,,,,,-3.32,0.90,,,-30.96,-41.11,32.86,-5.84,14.54,-5.81,0.73,-1.87,12.79,-6.19,5.19,4.46,2.00,9.63,5.69,-4.00,-11.06,13.15,-6.45,8.60,4.08,5.87
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,77.17,103.51,,-13.14,,,-16.43,8.28,19.10,-20.41,-24.80,-45.41,-16.42,47.62,17.37,47.64,-24.30,-15.65,64.71,55.79,193.63,58.17,-32.33,-50.85,-68.19,-56.24,-37.68,-6.17,207.36,20.36
ZNPO_sy,,-38.85,171.68,,40.16,,,-31.30,-47.83,-66.09,-81.20,-37.41,-38.51,-1.66,99.38,13.87,93.65,71.92,35.39,16.91,-20.06,23.69,8.85,45.18,22.68,1.27,6.51,-15.64,-5.04,3.94,-11.57
ZNPO_qq,,,,,-11.04,-20.21,10.02,7.01,15.27,-12.24,-26.48,1.12,-16.32,34.35,29.85,-19.60,5.26,-31.12,44.70,56.99,-0.44,29.83,-22.05,-32.84,-27.69,-15.98,7.24,-4.36,8.88,175.23,-58.01
ZNPO_sq,,,,,14.03,-7.23,13.18,-42.62,-13.41,-39.69,-37.27,91.06,-14.93,-3.55,27.19,9.12,44.66,-14.38,0.16,-5.77,-1.09,32.50,-11.86,25.69,-16.42,9.37,-7.30,-0.45,-5.92,19.72,-21.13
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-41.95,138.13,,,,,-195.36,,79.56,-62.74,184.58,-1.43,337.60,735.52,754.67,25.34,-39.27,-40.13,-53.47,-12.89,-19.55,-28.18,-15.69,-63.70,-25.38,-55.06,46.23,-906.92,,-2284.65
