,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-331.25,197.10,,,244.78,,537.04,2566.67,-22.08,-22.71,55.81,63.06,38.33,29.86,61.94,-6.91,46.99,37.96,-34.33,-24.93,10.11,-6.08,94.39,358.10,-8549904.69,3126.48,-260516.80,-38387.58,99.73,-93.62,104.84,214.46,105.08,207.80,-99.70
ROS_sy,,85.55,-52.07,,,-65.55,,-20.34,1643.75,189.97,154.64,13.66,-58.28,-69.32,-57.78,16.60,15.81,175.19,152.82,-0.86,-24.93,39.62,-5.91,37.13,285.38,-77.59,-56.70,-748.01,-569.33,-5596.94,-484.52,83.08,106.38,106.57,230.20,149.38
ROS_qq,,,,,-133.33,2666.67,18.18,-37.00,29.07,-18.92,17.22,27.01,35.07,-31.22,10.04,58.39,-22.35,8.61,3.28,-24.60,-11.23,59.29,-11.91,56.06,109.21,-2972983.01,100.03,-12695.68,69.24,78.75,100.78,9453.90,627.30,-99.06,-53.04,-90.80
ROS_sq,,,,,-89.64,273.75,-6.35,119.64,126.83,-37.85,-17.76,-1.96,-16.74,-54.30,13.16,170.76,-17.30,8.61,3.96,6.18,-37.38,101.98,-29.94,54.75,75.99,-88.26,35.37,-2416.13,-27.47,-37.54,90.53,-1.93,148.07,41.61,87.67,-61.34
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-287.50,496.00,,,-7.74,,24.31,-13.64,-27.37,-2.07,-6.15,320.30,60.80,134.92,329.76,-25.58,15.94,-15.77,-68.98,-61.54,-69.27,-112.57,-262.05,-644.37,-3305864.06,2914.89,-16806.06,-895.52,99.93,-201.36,98.93,-213.03,-53.36,-63.46,-436.70
RS_sy,,-40.47,28.51,,,40.09,,95.28,60.37,-48.60,-63.18,-45.77,-33.75,82.21,192.49,297.03,190.37,72.88,28.41,-12.90,-72.10,-23.90,-17.88,-59.01,-18.15,-42.82,10.50,-545.29,-275.40,-320.79,-261.91,51.35,-130.34,139.96,130.46,147.49
RS_qq,,,,,6.94,77.92,-29.56,-7.25,-25.70,49.62,-5.03,-11.11,232.74,-42.75,38.75,62.61,-42.38,-10.82,0.81,-40.11,-28.57,-28.75,-141.23,-672.34,-139.94,-432571.78,100.04,-4738.62,85.87,68.97,50.17,51.23,-4050.31,84.80,46.89,-60.13
RS_sq,,,,,38.31,67.76,-2.03,-14.09,13.58,-46.24,-29.82,26.53,38.78,47.86,12.66,71.75,1.50,-11.97,-16.32,16.50,-67.49,140.10,-9.69,-41.86,-35.08,67.74,74.52,-334.30,74.43,-111.15,-27.98,29.60,-21.09,136.63,-2.45,9.78
